id,lat,lon,locality,month,year,sex,mat,ml,wgt,analysis_date,fullness,full_wgt,empty_wgt,content_wgt
CAPEXI_058,28.585333,112.6575,,,2016,F,4,16,0.0837503,7/13/17,3,1.57,0.65,0.92
CAPEXI_059,28.585333,112.6575,,,2016,F,5,18.3,0.1237223,7/13/17,3,1,0.86,0.14
CAPEXI_060,28.585333,112.6575,,,2016,F,5,16.2,0.0937433,7/13/17,2,1.09,0.89,0.2
CAPEXI_061,28.585333,112.6575,,,2016,F,3,16.3,0.0887468,7/13/17,3,1.69,0.92,0.77
CAPEXI_062,28.585333,112.6575,,,2016,F,5,18.8,0.1287188,7/13/17,1,1.07,1.02,0.05
CAPEXI_063,28.585333,112.6575,,,2016,F,5,16,0.0937433,7/13/17,1,0.65,0.62,0.03
CAPEXI_064,28.585333,112.6575,,,2016,F,5,17,0.0887468,7/13/17,2,1.22,0.81,0.41
CAPEXI_065,28.585333,112.6575,,,2016,F,4,15.7,0.0737573,7/13/17,2,0.9,0.58,0.32
CAPEXI_066,28.585333,112.6575,,,2016,F,2,15,0.0887468,7/13/17,1,0.7,0.58,0.12
CAPEXI_067,28.585333,112.6575,,,2016,M,5,16,0.0837503,7/13/17,2,0.62,0.58,0.4
CAPEXI_068,28.585333,112.6575,,,2016,M,5,15.9,0.0887468,7/13/17,1,0.36,0.36,0
CAPEXI_069,28.585333,112.6575,,,2016,F,4,15.5,0.0737573,7/13/17,2,0.88,0.71,0.17
CAPEXI_070,28.585333,112.6575,,,2016,F,2,14.2,0.0587678,7/13/17,2,0.69,0.65,0.04
CAPEXI_071,28.585333,112.6575,,,2016,M,5,14.5,0.0537713,7/13/17,1,0.35,0.33,0.02
CAPEXI_072,28.585333,112.6575,,,2016,M,5,14.9,0.0537713,7/13/17,1,0.37,0.36,0.01
CAPEXI_073,28.585333,112.6575,,,2016,F,2,13.8,0.0637643,7/13/17,4,1.32,0.54,0.78
CAPEXI_074,28.585333,112.6575,,,2016,F,3,15.5,0.0687608,7/13/17,1,0.8,0.66,0.14
CAPEXI_075,28.585333,112.6575,,,2016,F,3,15.4,0.0737573,7/13/17,0,1.05,0.8,0.25
CAPEXI_076,28.585333,112.6575,,,2016,F,5,14.3,0.0587678,7/13/17,1,0.6,0.39,0.21
CAPEXI_077,28.585333,112.6575,,,2016,F,2,14.5,0.0537713,7/13/17,3,0.8,0.6,0.2
CAPEXI_078,28.585333,112.6575,,,2016,F,2,14.3,0.0537713,7/13/17,1,0.64,0.51,0.13
CAPEXI_079,28.585333,112.6575,,,2016,M,5,14.6,0.0637643,7/13/17,1,0.4,0.39,0.01
CAPEXI_080,28.585333,112.6575,,,2016,F,2,14.9,0.0687608,7/13/17,2,0.87,0.58,0.29
CAPEXI_081,28.585333,112.6575,,,2016,M,5,14.1,0.0587678,7/13/17,3,0.78,0.38,0.4
CAPEXI_082,28.087167,112.178767,,,2016,F,4,16.5,0.0837503,7/11/17,3,1.94,0.85,1.09
CAPEXI_083,28.087167,112.178767,,,2016,F,5,15.8,0.0737573,7/11/17,2,0.73,0.36,0.37
CAPEXI_084,28.087167,112.178767,,,2016,F,5,21.2,0.1836803,7/11/17,3,1.3,0.92,0.38
CAPEXI_085,28.087167,112.178767,,,2016,F,3,15.9,0.0737573,7/11/17,4,1.2,0.47,0.73
CAPEXI_086,28.087167,112.178767,,,2016,M,5,15.6,0.0537713,7/11/17,1,0.52,0.32,0.2
CAPEXI_087,28.087167,112.178767,,,2016,M,5,16.2,0.0837503,7/11/17,2,0.74,,
CAPEXI_088,28.087167,112.178767,,,2016,F,2,13.3,0.0237923,7/11/17,1,0.49,0.44,0.05
CAPEXI_089,28.087167,112.178767,,,2016,F,2,12.6,0.0287888,7/11/17,2,0.34,0.19,0.15
CAPEXI_090,28.087167,112.178767,,,2016,M,3,13.1,0.0287888,7/11/17,2,0.49,0.27,0.22
CAPEXI_091,28.087167,112.178767,,,2016,F,5,18.3,0.1037363,7/11/17,0,0.78,0.75,0.03
CAPEXI_092,28.087167,112.178767,,,2016,F,5,17.9,0.1237223,7/11/17,3,1.73,0.77,0.96
CAPEXI_093,28.087167,112.178767,,,2016,F,3,14.8,0.0537713,7/6/17,3,0.72,0.57,0.15
CAPEXI_094,28.087167,112.178767,,,2016,F,5,19.5,0.1287188,7/11/17,4,1.44,0.98,0.46
CAPEXI_095,28.087167,112.178767,,,2016,F,5,16,0.0687608,7/11/17,0,0.73,0.67,0.06
CAPEXI_096,28.41985,112.52175,,,2016,F,5,20.5,0.1686908,7/4/17,2,1.03,0.9,0.13
CAPEXI_097,28.41985,112.52175,,,2016,F,5,20.2,0.1786838,7/3/17,4,2.43,0.72,1.71
CAPEXI_098,28.41985,112.52175,,,2016,M,5,15.5,0.0687608,7/5/17,2,0.58,0.4,0.18
