Ref,Monthly #,Date,Locality,ML,Weight,SEX,Mat Stage,prey,rostral ,Otolith length1,Otolith length2,Otolith length3,Otolith length4,Otolith length5,Otolith length6,Otolith length7,Otolith length8,Otolith length9,Otolith length10,Otolith length11,Otolith length12,Otolith length13,Otolith length14,Otolith length15,Otolith length16,Otolith length17,Otolith length18,Otolith length19,Otolith length20,Otolith length21,Otolith length22,Otolith length23,Otolith length24,Otolith length25,Otolith length26,Otolith length27,Otolith length28,Otolith length29,Otolith length30,Otolith length31,Otolith length32,Otolith length33,Otolith length34,Otolith length35,Otolith length36
1026,13,1/19/97,Guaymas,48,2.8,H,II,Benthosema,,1.6,1.5,2.1,1.7,1.9,2.1,2.1,2.1,1.9,1.7,1.7,1.7,1.8,2,2,1.8,1.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1027,14,1/19/97,Guaymas,47.5,2.975,M,V,Benthosema,,1.8,1.5,2,2,1.8,1.9,2.1,1.8,1.8,1.6,1.5,2,2.1,1.7,1.7,1.5,2.1,2.1,2.1,2.1,2.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1028,15,1/19/97,Guaymas,46.1,2.67,H,II,Benthosema,,1.8,1.8,1.7,1.7,2.1,1.6,1.5,1.7,1.7,1.8,1.6,1.5,1.8,1.9,2.1,2.1,1.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1029,16,1/19/97,Guaymas,52.5,3.4,M,V,Benthosema,,1.6,1.8,2,2.1,2.2,1.8,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1030,17,1/19/97,Guaymas,48.1,3.85,H,II,Benthosema,,1.7,1.7,2,2,2,2,2.1,1.9,2,2,2.1,2.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1036,2,1/21/97,Guaymas,53.1,4.075,H,II,Benthosema,,2,2.1,1.6,1.8,2.2,2.1,1.9,1.7,2.1,2.1,1.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1037,3,1/21/97,Guaymas,52.7,4.675,H,II,Benthosema,,1.7,2.2,2.5,2.1,2.2,2.2,2.8,1.8,1.8,2.1,2.1,2.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1039,5,1/21/97,Guaymas,56,4.325,M,IV,Benthosema,,1.8,1.8,1.8,1.9,1.9,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1040,6,1/21/97,Guaymas,55,4.3,M,III,Benthosema,,1.7,2.2,1.8,2.2,2.3,1.7,2.2,2.4,2.2,2,1.7,1.9,1.9,1.8,2.1,2.1,1.8,1.9,1.9,1.9,1.9,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1041,7,1/21/97,Guaymas,55.2,4.225,H,II,Benthosema,,1.7,2.2,2.1,2.2,1.6,1.9,1.5,1.8,1.6,2.1,1.8,1.8,2,2.1,2,2,1.8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1042,8,1/21/97,Guaymas,55.6,4.6,H,II,Benthosema,,1.7,1.7,1.9,1.9,2.1,1.6,1.9,1.7,2.2,2.2,2.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1046,18,1/23/97,Guaymas,73.5,11.825,H,III,Benthosema,,2.2,2.2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1048,20,1/23/97,Guaymas,71.6,11.55,H,III,Benthosema,,2,2,2.1,1.8,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1050,22,1/23/97,Guaymas,58.9,5.6,H,II,Benthosema,,1.6,1.7,1.7,1.7,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1056,28,1/23/97,Guaymas,75,11.35,M,V,Benthosema,,2.2,1.9,2,1.8,2.1,2,2.3,2.2,1.7,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1057,29,1/23/97,Guaymas,69.9,,M,V,Benthosema,,1.6,1.8,2.1,2.2,2.3,2.2,2,2,2,1.9,2.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1058,30,1/23/97,Guaymas,59.2,5.25,M,V,Benthosema,,2,2,2,2.1,2.2,2.2,1.9,1.9,2,2.4,2.2,2.1,2.1,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1088,2,2/16/97,Guaymas,51.8,3.275,M,V,Benthosema,,1.7,1.7,1.8,1.9,1.9,2.1,1.9,1.7,2,2.1,1.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1089,3,2/16/97,Guaymas,47.4,2.6,M,III,Benthosema,,1.6,1.7,1.5,2,2,2.1,2.1,1.7,1.7,1.7,1.9,1.9,1.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1090,4,2/16/97,Guaymas,52,3.175,M,V,Benthosema,,1.5,1.7,1.8,1.8,1.8,1.8,2,1.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1095,9,2/16/97,Guaymas,47.3,2.925,M,III,Benthosema,,2,1.8,2.1,2,1.7,1.6,1.9,2.2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1096,10,2/16/97,Guaymas,61.2,6.125,M,V,Benthosema,,2,2.1,2.2,2.3,1.9,1.9,1.8,2.1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1098,12,2/16/97,Guaymas,50.1,3.275,H,II,Benthosema,,1.8,1.8,1.9,1.9,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1102,16,2/16/97,Guaymas,46.1,,H,II,Benthosema,,2,1.7,1.7,1.7,1.9,1.9,1.9,2,2,2,1.9,1.8,1.8,1.7,1.6,1.7,1.7,1.8,1.8,1.8,2,1.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1105,19,2/16/97,Guaymas,43,,H,II,Benthosema,,1.9,2,2,1.6,1.8,1.6,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1106,20,2/16/97,Guaymas,50.8,3.4,M,III,Benthosema,,1.7,1.7,1.7,1.8,1.9,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1108,22,2/16/97,Guaymas,38.2,1.65,M,II,Benthosema,,2,2.1,1.9,1.9,1.9,1.7,2,1.7,1.7,1.9,1.9,1.9,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1112,25,2/17/97,Guaymas,58,5.575,H,III,Benthosema,,1.7,1.8,1.5,1.9,1.9,2.2,1.4,1.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1115,28,2/17/97,Guaymas,52.2,3.775,M,IV,Benthosema,,1.9,2,1.9,2,1.7,1.6,1.7,1.9,2.3,2.1,1.6,1.8,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1135,,2/17/97,Guaymas,65.8,,M,V,Benthosema,,1.9,2.2,1.8,2.2,2.2,2.1,2.1,2.1,2.2,2.2,2.3,2.4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
