species,id,analysis_date,fullness,full_weight_g,empty_weight_g,content_weight
Dosidicus gigas,CAPEXI_092,7/11/17,3,1.73,0.77,0.96
Dosidicus gigas,CAPEXI_093,7/6/17,3,0.72,0.57,0.15
Dosidicus gigas,CAPEXI_094,7/11/17,4,1.44,0.98,0.46
Dosidicus gigas,CAPEXI_095,7/11/17,0,0.73,0.67,0.06
Dosidicus gigas,CAPEXI_096,7/4/17,2,1.03,0.9,0.13
Dosidicus gigas,CAPEXI_097,7/3/17,4,2.43,0.72,1.71
Dosidicus gigas,CAPEXI_098,7/5/17,2,0.58,0.4,0.18
Dosidicus gigas,CAPEXI_100,7/5/17,1,0.42,,
Dosidicus gigas,CAPEXI_101,7/4/17,3,1.3,0.49,0.81
Dosidicus gigas,CAPEXI_102,7/5/17,2,0.93,0.71,0.22
Dosidicus gigas,CAPEXI_103,7/3/17,2,1.24,0.96,0.28
Dosidicus gigas,CAPEXI_104,6/30/17,3,1.37,0.68,0.69
Dosidicus gigas,CAPEXI_105,7/4/17,1,0.6,0.55,0.05
Dosidicus gigas,CAPEXI_106,7/3/17,3,1.42,0.81,0.61
Dosidicus gigas,CAPEXI_107,7/4/17,3,1.39,0.59,0.8
Dosidicus gigas,CAPEXI_108,7/5/17,1,0.98,0.62,0.36
Dosidicus gigas,CAPEXI_109,7/3/17,1,0.74,0.52,0.22
Dosidicus gigas,CAPEXI_110,7/4/17,1,0.68,0.5,0.18
Dosidicus gigas,CAPEXI_111,7/4/17,1,0.88,0.44,0.44
Dosidicus gigas,CAPEXI_113,7/5/17,0,1,0.96,0.04
Dosidicus gigas,CAPEXI_112,7/4/17,3,1.17,0.64,0.53
Dosidicus gigas,CAPEXI_115,7/5/17,2,0.59,0.35,0.24
Dosidicus gigas,CAPEXI_116,7/5/17,1,0.12,0.12,0
Dosidicus gigas,CAPEXI_117,7/4/17,2,1.01,0.31,0.7
Dosidicus gigas,CAPEXI_118,7/4/17,1,0.61,0.27,0.34
Dosidicus gigas,CAPEXI_119,7/11/17,2,1.07,0.81,0.26
Dosidicus gigas,CAPEXI_120,7/11/17,3,1.67,0.95,0.72
Dosidicus gigas,CAPEXI_121,7/11/17,1,0.88,0.8,0.08
Dosidicus gigas,CAPEXI_122,7/11/17,2,0.91,0.76,0.15
Dosidicus gigas,CAPEXI_123,7/11/17,2,1,0.83,0.17
Dosidicus gigas,CAPEXI_124,7/11/17,1,0.48,0.45,0.03
Dosidicus gigas,CAPEXI_125,7/11/17,1,0.66,0.62,0.04
Dosidicus gigas,CAPEXI_126,7/11/17,1,0.73,0.72,0.01
Dosidicus gigas,CAPEXI_127,7/11/17,4,2.76,1.89,0.87
Dosidicus gigas,CAPEXI_128,7/11/17,2,1.16,0.94,0.22
