"","cruise_int","Date_M","Lat_M","Lon_M","date","year","X","mean.sst","stdev.sst","n","satellite.date","requested.lon.min","requested.lon.max","requested.lat.min","requested.lat.max","requested.date","median.sst","mad.sst","mean chlorophyll","stdev chlorophyll","n","satellite date","requested lon min","requested lon max","requested lat min","requested lat max","requested date","median chlorophyll","mad chlorophyll"
"52",1.1241,20051123,27.40876454,-112.19381031,2005-11-23,"2005",52,NA,NA,0,"2005-11-23 12:00:00",-112.29381031,-112.09381031,27.30876454,27.50876454,13110,NA,NA,3.69950875849055,6.99396870336874,57,"2005-11-23 12:00:00",-112.29381031,-112.09381031,27.30876454,27.50876454,13110,2.81200003623962,1.84287149176598
"53",1.1242,20051123,27.41497156,-112.2013656,2005-11-23,"2005",53,NA,NA,0,"2005-11-23 12:00:00",-112.29381031,-112.09381031,27.30876454,27.50876454,13110,NA,NA,3.69950875849055,6.99396870336874,57,"2005-11-23 12:00:00",-112.29381031,-112.09381031,27.30876454,27.50876454,13110,2.81200003623962,1.84287149176598
"54",1.1243,20051123,27.42114859,-112.208779,2005-11-23,"2005",54,NA,NA,0,"2005-11-23 12:00:00",-112.308779,-112.108779,27.32114859,27.52114859,13110,NA,NA,3.69950875849055,6.99396870336874,57,"2005-11-23 12:00:00",-112.308779,-112.108779,27.32114859,27.52114859,13110,2.81200003623962,1.84287149176598
"55",1.1244,20051123,27.42716585,-112.21605554,2005-11-23,"2005",55,NA,NA,0,"2005-11-23 12:00:00",-112.308779,-112.108779,27.32114859,27.52114859,13110,NA,NA,3.69950875849055,6.99396870336874,57,"2005-11-23 12:00:00",-112.308779,-112.108779,27.32114859,27.52114859,13110,2.81200003623962,1.84287149176598
"56",1.1245,20051123,27.43337286,-112.22356168,2005-11-23,"2005",56,NA,NA,0,"2005-11-23 12:00:00",-112.32356168,-112.12356168,27.33337286,27.53337286,13110,NA,NA,3.69316070367183,7.0570981287698,56,"2005-11-23 12:00:00",-112.32356168,-112.12356168,27.33337286,27.53337286,13110,2.81200003623962,1.78579155224562
"57",1.1246,20051123,27.4394719,-112.23084135,2005-11-23,"2005",57,NA,NA,0,"2005-11-23 12:00:00",-112.32356168,-112.12356168,27.33337286,27.53337286,13110,NA,NA,3.69316070367183,7.0570981287698,56,"2005-11-23 12:00:00",-112.32356168,-112.12356168,27.33337286,27.53337286,13110,2.81200003623962,1.78579155224562
"58",1.1247,20051123,27.44572925,-112.23854979,2005-11-23,"2005",58,NA,NA,0,"2005-11-23 12:00:00",-112.33854979,-112.13854979,27.34572925,27.54572925,13110,NA,NA,3.6066250000149,7.59548028059953,48,"2005-11-23 12:00:00",-112.33854979,-112.13854979,27.34572925,27.54572925,13110,2.7720000743866,1.66940766928196
"59",1.1248,20051123,27.45155422,-112.24597526,2005-11-23,"2005",59,NA,NA,0,"2005-11-23 12:00:00",-112.34597526,-112.14597526,27.35155422,27.55155422,13110,NA,NA,2.61871432903267,1.82502340888057,42,"2005-11-23 12:00:00",-112.34597526,-112.14597526,27.35155422,27.55155422,13110,2.79200005531311,1.69905964100361
"60",1.1249,20051123,27.45742834,-112.25370224,2005-11-23,"2005",60,NA,NA,0,"2005-11-23 12:00:00",-112.35370224,-112.15370224,27.35742834,27.55742834,13110,NA,NA,2.33200004282925,1.43755698439465,36,"2005-11-23 12:00:00",-112.35370224,-112.15370224,27.35742834,27.55742834,13110,2.79200005531311,1.58786465867758
"61",1.125,20051123,27.46461897,-112.26294167,2005-11-23,"2005",61,NA,NA,0,"2005-11-23 12:00:00",-112.36294167,-112.16294167,27.36461897,27.56461897,13110,NA,NA,2.47848281675372,1.46888905523909,29,"2005-11-23 12:00:00",-112.36294167,-112.16294167,27.36461897,27.56461897,13110,2.81200003623962,1.4470177046299
