id,capture_lat,capture_lon,locality,capture_month,capture_year,sex,maturity state,mantle_length,weight,notes
CAPEXI_071,28.585333,112.6575,,,2016,M,5,14.5,0.0537713,
CAPEXI_072,28.585333,112.6575,,,2016,M,5,14.9,0.0537713,
CAPEXI_073,28.585333,112.6575,,,2016,F,2,13.8,0.0637643,
CAPEXI_074,28.585333,112.6575,,,2016,F,3,15.5,0.0687608,
CAPEXI_075,28.585333,112.6575,,,2016,F,3,15.4,0.0737573,
CAPEXI_076,28.585333,112.6575,,,2016,F,5,14.3,0.0587678,
CAPEXI_077,28.585333,112.6575,,,2016,F,2,14.5,0.0537713,
CAPEXI_078,28.585333,112.6575,,,2016,F,2,14.3,0.0537713,
CAPEXI_079,28.585333,112.6575,,,2016,M,5,14.6,0.0637643,
CAPEXI_080,28.585333,112.6575,,,2016,F,2,14.9,0.0687608,
CAPEXI_081,28.585333,112.6575,,,2016,M,5,14.1,0.0587678,
CAPEXI_082,28.087167,112.178767,,,2016,F,4,16.5,0.0837503,
CAPEXI_083,28.087167,112.178767,,,2016,F,5,15.8,0.0737573,
CAPEXI_084,28.087167,112.178767,,,2016,F,5,21.2,0.1836803,
CAPEXI_085,28.087167,112.178767,,,2016,F,3,15.9,0.0737573,
CAPEXI_086,28.087167,112.178767,,,2016,M,5,15.6,0.0537713,
CAPEXI_087,28.087167,112.178767,,,2016,M,5,16.2,0.0837503,
CAPEXI_088,28.087167,112.178767,,,2016,F,2,13.3,0.0237923,
CAPEXI_089,28.087167,112.178767,,,2016,F,2,12.6,0.0287888,
CAPEXI_090,28.087167,112.178767,,,2016,M,3,13.1,0.0287888,
CAPEXI_091,28.087167,112.178767,,,2016,F,5,18.3,0.1037363,
CAPEXI_092,28.087167,112.178767,,,2016,F,5,17.9,0.1237223,
CAPEXI_093,28.087167,112.178767,,,2016,F,3,14.8,0.0537713,
CAPEXI_094,28.087167,112.178767,,,2016,F,5,19.5,0.1287188,
CAPEXI_095,28.087167,112.178767,,,2016,F,5,16,0.0687608,
CAPEXI_096,28.41985,112.52175,,,2016,F,5,20.5,0.1686908,
CAPEXI_097,28.41985,112.52175,,,2016,F,5,20.2,0.1786838,
CAPEXI_098,28.41985,112.52175,,,2016,M,5,15.5,0.0687608,
CAPEXI_099,28.41985,112.52175,,,2016,F,5,16.5,0.1047,
CAPEXI_100,28.41985,112.52175,,,2016,M,5,15.6,0.0737573,
CAPEXI_101,28.41985,112.52175,,,2016,F,3,15.8,0.0587678,
CAPEXI_102,28.41985,112.52175,,,2016,F,5,18,0.1187258,
CAPEXI_103,28.41985,112.52175,,,2016,F,5,19.1,0.1387118,
CAPEXI_104,28.41985,112.52175,,,2016,F,5,17.6,0.1087328,
CAPEXI_105,28.41985,112.52175,,,2016,F,3,15.9,0.0687608,
CAPEXI_106,28.41985,112.52175,,,2016,F,5,19.4,0.1537013,
CAPEXI_107,28.41985,112.52175,,,2016,F,5,18.9,0.1337153,
CAPEXI_108,28.41985,112.52175,,,2016,F,4,16.5,0.0787538,
CAPEXI_109,28.41985,112.52175,,,2016,F,5,20.2,0.1487048,
CAPEXI_110,28.41985,112.52175,,,2016,F,5,17,0.0937433,
CAPEXI_111,28.41985,112.52175,,,2016,F,5,19.4,0.1437083,
CAPEXI_112,28.41985,112.52175,,,2016,F,5,19.3,0.1437083,
CAPEXI_113,28.41985,112.52175,,,2016,F,5,21.2,0.199,
CAPEXI_115,28.41985,112.52175,,,2016,F,5,17,0.0887468,
CAPEXI_116,28.41985,112.52175,,,2016,F,5,16.9,0.0937433,
CAPEXI_117,28.41985,112.52175,,,2016,F,5,18.6,0.1237223,
CAPEXI_118,28.41985,112.52175,,,2016,F,2,13.7,0.0537713,
CAPEXI_119,27.412067,112.144933,,,2016,F,5,17.8,0.1087328,
CAPEXI_120,27.412067,112.144933,,,2016,F,5,17.3,0.1037363,
CAPEXI_121,27.412067,112.144933,,,2016,F,5,18,0.1287188,
CAPEXI_122,27.412067,112.144933,,,2016,F,5,18.2,0.1237223,
CAPEXI_123,27.412067,112.144933,,,2016,F,5,17.1,0.1137293,
CAPEXI_124,27.412067,112.144933,,,2016,M,5,16.2,0.0887468,
CAPEXI_125,27.412067,112.144933,,,2016,M,5,16.5,0.0687608,
CAPEXI_126,27.412067,112.144933,,,2016,M,5,16.6,0.0687608,
CAPEXI_127,27.412067,112.144933,,,2016,F,5,18.1,0.1237223,
CAPEXI_128,27.412067,112.144933,,,2016,F,5,17.3,0.1087328,
CAPEXI_129,27.412067,112.144933,,,2016,F,5,19,0.1237223,
CAPEXI_130,27.42255,112.064433,,,2016,F,5,18.5,0.1387118,
CAPEXI_131,27.42255,112.064433,,,2016,F,5,18.2,0.1187258,
CAPEXI_132,27.751717,111.7849,,,2016,F,5,18.5,0.1237223,
CAPEXI_133,27.751717,111.7849,,,2016,M,5,17.9,0.1337153,
CAPEXI_134,27.751717,111.7849,,,2016,F,5,19.3,0.1537013,
CAPEXI_135,27.751717,111.7849,,,2016,F,4,15.4,0.0687608,
CAPEXI_136,27.751717,111.7849,,,2016,F,2,13.2,0.0437783,
CAPEXI_137,27.751717,111.7849,,,2016,F,5,21.6,0.2186558,
CAPEXI_138,27.751717,111.7849,,,2016,F,5,19.5,0.1586978,
CAPEXI_139,27.751717,111.7849,,,2016,F,5,21.1,0.1736873,
CAPEXI_140,27.751717,111.7849,,,2016,F,5,20.4,0.1686908,
CAPEXI_141,27.751717,111.7849,,,2016,F,5,19.7,0.1487048,
CAPEXI_142,27.751717,111.7849,,,2016,F,3,15.1,0.0537713,
